size_bytes;birth_epoch;birth;mtime_epoch;mtime;path
1874;1766392991;2025-12-22 09:43:11.569174938 +0100;1766298088;2025-12-21 07:21:28.000000000 +0100;./whitepaper/src/chapters/00_guide_lecture.tex
4889;1766392991;2025-12-22 09:43:11.571174201 +0100;1766302470;2025-12-21 08:34:30.000000000 +0100;./whitepaper/src/chapters/annexe_j_offre.tex
10010;1766392991;2025-12-22 09:43:11.570174570 +0100;1766302468;2025-12-21 08:34:28.000000000 +0100;./whitepaper/src/chapters/08_track_solana.tex
10282;1766392991;2025-12-22 09:43:11.570174570 +0100;1766302470;2025-12-21 08:34:30.000000000 +0100;./whitepaper/src/chapters/05_structure.tex
7206;1766392991;2025-12-22 09:43:11.570174570 +0100;1766302472;2025-12-21 08:34:32.000000000 +0100;./whitepaper/src/chapters/16_token_reputation.tex
1503;1766392991;2025-12-22 09:43:11.571174201 +0100;1766302472;2025-12-21 08:34:32.000000000 +0100;./whitepaper/src/chapters/annexe_a_syllabus_detaille.tex
1319;1766392991;2025-12-22 09:43:11.571174201 +0100;1766298088;2025-12-21 07:21:28.000000000 +0100;./whitepaper/src/chapters/annexe_n_compliance.tex
954;1766392991;2025-12-22 09:43:11.571174201 +0100;1766302468;2025-12-21 08:34:28.000000000 +0100;./whitepaper/src/chapters/annexe_i_dashboard.tex
3809;1766392991;2025-12-22 09:43:11.569174938 +0100;1766302470;2025-12-21 08:34:30.000000000 +0100;./whitepaper/src/chapters/00_executive_summary.tex
5204;1766392991;2025-12-22 09:43:11.571174201 +0100;1766302470;2025-12-21 08:34:30.000000000 +0100;./whitepaper/src/chapters/20_roadmap_lancement.tex
1026;1766392991;2025-12-22 09:43:11.571174201 +0100;1766302468;2025-12-21 08:34:28.000000000 +0100;./whitepaper/src/chapters/99_references.tex
7436;1766392991;2025-12-22 09:43:11.570174570 +0100;1766302468;2025-12-21 08:34:28.000000000 +0100;./whitepaper/src/chapters/04_methodologie.tex
6099;1766392991;2025-12-22 09:43:11.570174570 +0100;1766302468;2025-12-21 08:34:28.000000000 +0100;./whitepaper/src/chapters/14_risques.tex
1524;1766392991;2025-12-22 09:43:11.569174938 +0100;1766298088;2025-12-21 07:21:28.000000000 +0100;./whitepaper/src/chapters/00_acronymes.tex
4654;1766392991;2025-12-22 09:43:11.571174201 +0100;1766302468;2025-12-21 08:34:28.000000000 +0100;./whitepaper/src/chapters/annexe_k_glossaire.tex
3992;1766392991;2025-12-22 09:43:11.571174201 +0100;1766302470;2025-12-21 08:34:30.000000000 +0100;./whitepaper/src/chapters/22_conclusion.tex
1109;1766392991;2025-12-22 09:43:11.571174201 +0100;1766302470;2025-12-21 08:34:30.000000000 +0100;./whitepaper/src/chapters/annexe_e_cockpit.tex
2344;1766392991;2025-12-22 09:43:11.571174201 +0100;1766298088;2025-12-21 07:21:28.000000000 +0100;./whitepaper/src/chapters/annexe_l_mentors.tex
8378;1766392991;2025-12-22 09:43:11.570174570 +0100;1766302468;2025-12-21 08:34:28.000000000 +0100;./whitepaper/src/chapters/15_roadmap.tex
1199;1766392991;2025-12-22 09:43:11.571174201 +0100;1766302470;2025-12-21 08:34:30.000000000 +0100;./whitepaper/src/chapters/annexe_h_sbt.tex
1329;1766392991;2025-12-22 09:43:11.571174201 +0100;1766298088;2025-12-21 07:21:28.000000000 +0100;./whitepaper/src/chapters/annexe_m_b2b.tex
3203;1766392991;2025-12-22 09:43:11.571174201 +0100;1766302470;2025-12-21 08:34:30.000000000 +0100;./whitepaper/src/chapters/annexe_g_selection.tex
